Company,Date,Open,High,Low,Close,Volume
NSE 20 SHARE INDEX,2013-09-06,4708.95,4708.95,4708.95,4708.95,50994400
NSE 20 SHARE INDEX,2013-09-05,4677.6,4677.6,4677.6,4677.6,15952300
NSE 20 SHARE INDEX,2013-09-04,4659.85,4659.85,4659.85,4659.85,19394500
NSE 20 SHARE INDEX,2013-09-03,4648.21,4648.21,4648.21,4648.21,8247600
NSE 20 SHARE INDEX,2013-09-02,4669.85,4669.85,4669.85,4669.85,4752100
NSE 20 SHARE INDEX,2013-08-30,4697.75,4697.75,4697.75,4697.75,23743000
NSE 20 SHARE INDEX,2013-08-29,4708.05,4708.05,4708.05,4708.05,128454496
NSE 20 SHARE INDEX,2013-08-28,4742.15,4742.15,4742.15,4742.15,36732000
NSE 20 SHARE INDEX,2013-08-27,4774.58,4774.58,4774.58,4774.58,15350500
NSE 20 SHARE INDEX,2013-08-26,4806.48,4806.48,4806.48,4806.48,37989100
NSE 20 SHARE INDEX,2013-08-23,4821.5,4821.5,4821.5,4821.5,18538100
NSE 20 SHARE INDEX,2013-08-22,4814.12,4814.12,4814.12,4814.12,17635600
NSE 20 SHARE INDEX,2013-08-21,4830.5,4830.5,4830.5,4830.5,29166000
NSE 20 SHARE INDEX,2013-08-20,4840.69,4840.69,4840.69,4840.69,18267500
